Full Node Name|Asset Number|Asset Owner|Manufacturer|Purchase Date|Serial Number|System Model|Floor space|DOMS RFID|Planned Decommission Date
5b6dv1b.via.novonet||Customer|IBM|2007-08-17 00:00:00|0XA0EB492|ESERVER P5 590 9119|CR-CR/63-62|02F12116|
5b6dv2b.via.novonet||Customer|IBM|2007-08-17 00:00:00|0XA0EB491|ESERVER P5 590 9119|CR/CQ 63/62|02F12116|
5b7dv1c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0F8FFD|ESERVER P5 590 9119|DN/31-33|02F0F9F1|
5b7dv2c.via.novonet||Customer|IBM|2007-03-14 00:00:00|0XA0F8FFE|ESERVER P5 590 9119|DN/31-33|02F0F9F1|
9309 rack.via.novonet||Customer||2010-05-25 00:00:00|||Refer to DOMS||
actav002.via.novonet|NU300288|Customer|IBM|2006-04-27 00:00:00|KDTWL6A|XSERIES 335 8676|R_R26_08|02F11F8A|
actdfs01.via.novonet|NU200935|Customer|IBM|2006-04-27 00:00:00|KDTFT0V|XSERIES 335 8676|R_R26_08|02F11F89|
actdfs02.via.novonet|NU200948|Customer|IBM|2006-04-27 00:00:00|KDRYR4N|XSERIES 335 8676|R_R11_03||
actfs012.via.novonet|SV003346|Customer|Dell|2007-02-27 00:00:00|4LZ6H2J|POWEREDGE 2850|R_R26_06|02F11E58|
actfs013.via.novonet|SV003493|Customer|Dell|2007-06-27 00:00:00|7K1SX2J|POWEREDGE 2950|R_R11_04|02F0F4DD|
actfs014.via.novonet|SV003771|Customer|Dell|2007-02-27 00:00:00|2K1SX2J|POWEREDGE 2950|R_R26_07|02F11E66|
actfs015.via.novonet|SV003912|Customer|Dell|2007-03-16 00:00:00|5K1SX2J|POWEREDGE 2950|R_R11_04|02F0F4DC|
actfs021.via.novonet|SV003126|Customer|Dell|2008-07-08 00:00:00|8V2XL3J|POWEREDGE 1950|R_R26_06|02F11E57|
actmg001.via.novonet|NU201014|Customer|IBM|2006-04-27 00:00:00|KDTWL5H|XSERIES 335 8676|R_R11_03|02F0F4CD|
ai-npe2.imuat.root-uat.net|AI-NPE2|HP|Sun||BDF123934E|SUN M5000|Refer to DOMS||
ai-pe1.im.root-domain.net|AI-PE1|HP|Sun||BDF1240366|SUN M4000|Refer to DOMS||
ai-pe2.im.root-domain.net|AI-PE2|HP|Sun||BDF124037A|SUN M4000|Refer to DOMS||
ajax cluster.via.novonet||Customer||2008-09-26 00:00:00|||Refer to DOMS||
alfa cluster.via.novonet||Customer||2009-02-06 00:00:00|||Refer to DOMS||
amazon.via.novonet||Customer|IBM|2006-04-21 00:00:00|515173E|ESERVER P5 590 9119|Refer to DOMS||
animal.via.novonet||Customer||2006-11-24 00:00:00|0XA0EFC77||Refer to DOMS||
animal_plus.via.novonet|SV002233|Customer||2006-11-09 00:00:00|06410BG||Refer to DOMS|02F11B47|
aplnu1ea.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 7B BC F7 3A 44 DF-D4 C0 66 77 74 69 1A 61|VIRTUAL SERVER|Refer to DOMS||
aplnu1ra.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 5E 51 B0 7A DE B0-92 81 0C 82 88 2A 4B 2E|VIRTUAL SERVER|Refer to DOMS||
aplnu1sa.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 1A ED 41 96 19 2C-F0 AB 60 4A 93 17 78 50|VIRTUAL SERVER|Refer to DOMS||
aplnu1sb.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 71 24 31 FA 40 48-35 9D 64 7B 31 4B 53 A1|VIRTUAL SERVER|Refer to DOMS||
aplnu1za.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 EF 14 CF 26 69 8F-91 C5 1D EA E8 84 84 E5|VIRTUAL SERVER|Refer to DOMS||
aplnu1zb.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 B3 EC B5 45 69 01-66 69 3F BF 19 D6 3A F7|VIRTUAL SERVER|Refer to DOMS||
appd005a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 9B B5 75 25 6B 05-29 A7 42 B8 1F FD 87 4B|VIRTUAL SERVER|Refer to DOMS||
appd006a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 9A 4D 29 AB 9E 8B-E3 C4 AB 6B C5 36 81 46|VIRTUAL SERVER|Refer to DOMS||
appd007a.via.novonet|SV001528|Customer|IBM|2006-04-21 00:00:00|KKWNK7X|XSERIES 366 8863|R_R26_28|02F12031|
appd008a.via.novonet|SV001531|Customer|IBM|2006-04-21 00:00:00|KKWGB7G|XSERIES 366 8863|R_R26_21|02F11FCA|
appd009a.via.novonet|SV001527|Customer|IBM|2006-04-21 00:00:00|KKWNK7Z|XSERIES 366 8863|R_R26_21|02F11FC9|
appd012a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 4A 81 52 21 80 57-51 A2 06 FB 80 3B D9 5C|VIRTUAL SERVER|Refer to DOMS||
appd015a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 A8 DE 48 A7 C1 48-F8 55 14 F7 32 01 21 00|VIRTUAL SERVER|N/A||
appd016a.via.novonet||Customer|VMware|2007-09-20 00:00:00|VMWARE-50 29 61 B3 CF 9A FB 71-CD 6E 5E 18 6B F6 D5 7B|VIRTUAL SERVER|Refer to DOMS||
appd020a.via.novonet||Customer|VMware|2007-01-08 00:00:00|VMWARE-50 29 E6 C7 2B 7F 5E 56-33 6A F0 4E 2C C0 2C AF|VIRTUAL SERVER|Refer to DOMS||
appd029a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 B4 C1 34 23 36 77-5E 9E 29 55 BC E3 EE FF|VIRTUAL SERVER|Refer to DOMS||
appd030a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 11 86 F7 5D B6 1B-5F 3E 4A DE 96 21 88 D3|VIRTUAL SERVER|Refer to DOMS||
appd031a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 7F CC EA A7 A7 94-98 7A 44 81 E6 82 5C 7B|VIRTUAL SERVER|Refer to DOMS||
appd032a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 2B 2D A3 1A 02 E8-97 71 29 74 70 7E 0B CA|VIRTUAL SERVER|Refer to DOMS||
appd033a.via.novonet||Customer|VMware|2007-09-19 00:00:00|VMWARE-50 29 F9 39 8C 5C 00 A3-F2 6F 92 A6 A4 72 33 54|VIRTUAL SERVER|N/A||
appd034a.via.novonet||Customer|VMware|2007-11-01 00:00:00|VMWARE-50 29 4E DB 49 48 49 72-DC 32 3F 5E AF 07 5C 80|VIRTUAL SERVER|Refer to DOMS||
appd036a.via.novonet||Customer|VMware|2007-05-02 00:00:00|VMWARE-50 24 BB D1 FD D1 38 81-8D B6 AF 94 E5 3C 0D D2|VIRTUAL SERVER|Refer to DOMS||
appd037a.via.novonet||Customer|VMware|2007-04-18 00:00:00|VMWARE-50 29 EB C7 C4 38 08 69-A3 CB 1C B0 97 2E 56 D0|VIRTUAL SERVER|Refer to DOMS||
appd040a.via.novonet||Customer|VMware|2007-05-16 00:00:00|VMWARE-50 29 BA EA 62 79 CE 64-CE BE 8F BE DB BA 98 19|VIRTUAL SERVER|Refer to DOMS||
appd041a.via.novonet||Customer|VMware|2007-05-16 00:00:00|VMWARE-50 24 02 AC BE 97 FF 53-4E 17 41 39 55 53 30 FD|VIRTUAL SERVER|Refer to DOMS||
appd047a.via.novonet||Customer|VMware|2008-09-10 00:00:00|VMWARE-50 24 69 2E 84 4F B3 94-8B EF 90 FC D2 B6 1A DF|VIRTUAL SERVER|Refer to DOMS||
appd050a.via.novonet||Customer|VMware|2007-08-08 00:00:00|VMWARE-50 24 95 41 33 C2 DC C3-B2 1C 93 01 91 72 5E BB|VIRTUAL SERVER|Refer to DOMS||
appd051a.via.novonet||Customer|VMware|2007-09-10 00:00:00|VMWARE-50 29 2A B8 EA 15 2C 59-BA 6F D0 DF CA 2D C0 12|VIRTUAL SERVER|N/A||
appd052a.via.novonet||Customer|VMware|2007-12-27 00:00:00|VMWARE-50 24 C2 64 34 DE 0B F9-43 4C 09 71 8F D8 51 E8|VIRTUAL SERVER|Refer to DOMS||
appd053a.via.novonet||Customer|VMware|2007-12-27 00:00:00|VMWARE-50 24 62 01 30 DE A3 96-F6 32 D6 28 03 B8 86 27|VIRTUAL SERVER|Refer to DOMS||
appd054a.via.novonet||Customer|VMware|2007-12-27 00:00:00|VMWARE-50 24 E8 EB 11 5B 1C 45-AC 08 23 A8 14 D2 E3 C3|VIRTUAL SERVER|Refer to DOMS||
appd055a.via.novonet||Customer|VMware|2007-12-27 00:00:00|VMWARE-50 24 6E 52 FF C3 55 27-EC E8 2B 4C 53 81 17 1F|VIRTUAL SERVER|Refer to DOMS||
appd056a.via.novonet||Customer|VMware|2008-01-16 00:00:00|VMWARE-50 29 DE E0 27 5D BF 6F-25 F6 1B FD 89 FF 5A 3E|VIRTUAL SERVER|Refer to DOMS||
appd057a.via.novonet||Customer|VMware|2008-01-16 00:00:00|VMWARE-50 29 07 72 21 E7 25 8D-56 CE DF 04 CF DE 4F A8|VIRTUAL SERVER|Refer to DOMS||
appd058a.via.novonet||Customer|VMware|2007-12-27 00:00:00|VMWARE-50 29 2B 5A 54 44 9A 01-17 13 0A 17 90 E1 5A D1|VIRTUAL SERVER|Refer to DOMS||
appd061a.via.novonet||Customer|VMware|2008-05-21 00:00:00|VMWARE-50 24 FF 1F 1F E5 74 C8-ED 9D D5 DD 89 C4 36 BA|VIRTUAL SERVER|Refer to DOMS||
appd064a.via.novonet||Customer|VMware|2008-09-23 00:00:00|VMWARE-50 24 F5 B4 FD ED 70 78-29 54 C0 AA 7E 0F 0D 08|VIRTUAL SERVER|Refer to DOMS||
appd065a.via.novonet||Customer|VMware|2008-09-23 00:00:00|VMWARE-50 24 5E CB 15 63 93 C4-74 62 2B F2 30 A7 A3 FA|VIRTUAL SERVER|Refer to DOMS||
appd066a.via.novonet||Customer|VMware|2008-09-23 00:00:00|VMWARE-50 24 8E 71 FD 29 FC 04-24 F8 26 E7 89 E2 F4 CF|VIRTUAL SERVER|Refer to DOMS||
appd069a.via.novonet|SV003821|Customer|Dell|2008-12-08 00:00:00|G4T424J|POWEREDGE 2950|R_R07_02|02F0F722|
appd070a.via.novonet||Customer|VMware|2008-12-15 00:00:00|VMWARE-50 24 E2 4C 76 74 E8 32-F8 11 7C C7 0B 10 A4 22|VIRTUAL SERVER|Refer to DOMS||
appd071a.via.novonet||Customer|VMware|2009-02-10 00:00:00|VMWARE-50 24 BD 18 2C BD 75 0B-3E 54 01 4E 6B 76 FF B2|VIRTUAL SERVER|Refer to DOMS||
appd072a.via.novonet||Customer|VMware|2008-12-15 00:00:00|VMWARE-50 24 0B 42 63 0C 95 B6-A4 D3 97 03 C0 CF 49 39|VIRTUAL SERVER|Refer to DOMS||
appd074a.via.novonet||Customer|VMware|2009-02-10 00:00:00|VMWARE-50 24 F7 81 92 F4 49 42-DC 02 5E EF 4B F8 73 18|VIRTUAL SERVER|Refer to DOMS||
appd075a.via.novonet||Customer|VMware|2009-02-10 00:00:00|VMWARE-50 24 92 CF A6 8B 7F 4C-77 A4 6D AF DB 4C 83 47|VIRTUAL SERVER|Refer to DOMS||
appd080a.via.novonet||Customer|VMware|2009-06-16 00:00:00|VMWARE-50 24 16 5D 5B 94 2C 2B-AB 78 14 29 24 E1 A7 2F|VIRTUAL SERVER|Refer to DOMS||
appd082a.via.novonet||Customer|VMware|2008-07-04 00:00:00|VMWARE-50 29 3E 4E 40 CF 1C 74-18 6A EA 12 C0 70 B5 7A|VIRTUAL SERVER|N/A||
appd084a.via.novonet||Customer|VMware|2009-12-03 00:00:00|VMWARE-50 29 EF 8D 57 CF E9 2B-F3 49 5D 1F 2C 23 4F FD|VIRTUAL SERVER|Refer to DOMS||
appd093a.via.novonet||Customer|VMware|2010-08-06 00:00:00|VMWARE-50 29 EA 8E 90 CE 35 7C-5E A2 2C 83 61 CF A8 DC|VIRTUAL SERVER|Refer to DOMS||
appl004a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 6C 21 DF 4C 00 78-2D 63 9D BC 17 5A AB CC|VIRTUAL SERVER|Refer to DOMS||
appl005a.via.novonet|SV000180|Customer|IBM|2006-04-21 00:00:00|KBBMFA5|XSERIES 345 8670|R_R26_27|02F1200D|
appl014a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 5F E1 D2 28 B7 4C-24 32 FB 71 F5 7F C7 4E|VIRTUAL SERVER|Refer to DOMS||
appl015a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 50 CF D3 61 07 40-02 80 28 C5 56 41 36 4B|VIRTUAL SERVER|Refer to DOMS||
appl019a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 CB 48 F5 B0 FD B6-30 49 A3 CA 7F AD 80 77|VIRTUAL SERVER|Refer to DOMS||
appl020a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 2B 07 3B F4 1C F4-63 78 60 90 8A F8 05 57|VIRTUAL SERVER|Refer to DOMS||
appl023a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 F7 26 1A 1B BB D0-7B 7C 06 94 92 7B 3E 88|VIRTUAL SERVER|Refer to DOMS||
appl024a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 80 5C 23 6A 7D 97-F1 00 EE F1 40 2F 86 F5|VIRTUAL SERVER|Refer to DOMS||
appl025a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 59 44 A6 09 C5 3E-08 5D 02 9C 23 91 03 44|VIRTUAL SERVER|Refer to DOMS||
appl031g.via.novonet|NU205372|Customer||2009-05-29 00:00:00|KKVAX6H||||
appl032g.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 D5 20 17 97 6C B8-8E 4F 1D DB 0E 26 D6 67|VIRTUAL SERVER|||
appl035a.via.novonet|SV000558|Customer|IBM|2006-04-21 00:00:00|KKTHA9V|XSERIES 346 8840|||
appl042a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 6A B2 37 1E 05 AA-38 98 96 7B BB 12 AC E7|VIRTUAL SERVER|Refer to DOMS||
appl044a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 D6 2B 12 84 4D 54-4D 91 A0 E7 9A 44 46 10|VIRTUAL SERVER|Refer to DOMS||
appl045a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 1F F4 8E 9D 0F 5E-24 91 E1 91 C1 61 6F 2D|VIRTUAL SERVER|Refer to DOMS||
appl046a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 24 9B A4 63 53 EA-A3 8C 2D AC CF 05 CF A4|VIRTUAL SERVER|Refer to DOMS||
appl047a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 4E AA 92 38 D6 40-B9 39 90 66 70 40 F5 EA|VIRTUAL SERVER|Refer to DOMS||
appl048a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 90 8C D8 FC 68 DA-C3 05 17 AC 43 D0 7B 6F|VIRTUAL SERVER|Refer to DOMS||
appl049a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 01 9D 83 8E E0 E0-E2 8F 4E 3D C0 D4 B6 A3|VIRTUAL SERVER|Refer to DOMS||
appl050a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 C1 1E 67 EB 3C FF-8F 87 61 E1 B5 C6 D0 24|VIRTUAL SERVER|Refer to DOMS||
appl051a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 A4 3E B0 0E 98 C6-1A 19 CD 44 6D AB 4A 81|VIRTUAL SERVER|Refer to DOMS||
appl052a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 3E 69 89 4D 6E B3-7F AC D3 F9 EF BF EC 3A|VIRTUAL SERVER|Refer to DOMS||
appl053a.via.novonet|SV001523|Customer|IBM|2006-04-21 00:00:00|KKWNV3N|XSERIES 366 8863|R_R26_21|02F11FC8|
appl054a.via.novonet|SV001525|Customer|IBM|2006-04-21 00:00:00|KKWMX2N|XSERIES 366 8863|R_R26_23|02F11FDD|
appl055a.via.novonet|SV001526|Customer|IBM|2006-04-21 00:00:00|KKWNK8B|XSERIES 366 8863|R_R26_20|02F12093|
appl056a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 24 F3 C6 E3 59 A0 F7-F6 52 95 6B 06 4E 9E CC|VIRTUAL SERVER|||
appl060a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 4E 32 45 24 A4 C8-23 6A 3F 2F 0E 37 CF 17|VIRTUAL SERVER|N/A||
appl061a.via.novonet||Customer|VMware|2006-04-21 00:00:00|VMWARE-50 29 5E 25 0F 6A 46 97-81 CF 0A 33 DE 50 41 72|VIRTUAL SERVER|Refer to DOMS||
appl073a.via.novonet||Customer|VMware|2007-07-30 00:00:00|VMWARE-50 29 B5 DB 94 41 4D E1-50 5A 93 E3 59 D2 01 73|VIRTUAL SERVER|Refer to DOMS||
appl093a.via.novonet||Customer|VMware|2006-09-20 00:00:00|VMWARE-50 24 17 27 80 BB C6 29-FE A6 BD 3D 6F 73 17 53|VIRTUAL SERVER|Refer to DOMS||
appl094a.via.novonet|SV003289|Customer|Dell|2010-01-18 00:00:00|23M103J|POWEREDGE 1950|R_R02_11|02F0F89B|
appl095a.via.novonet|SV003508|Customer|Dell|2010-01-18 00:00:00|2QKHQ3J|POWEREDGE 1950|R_R12_05|02F11A5E|
appl096a.via.novonet||Customer|VMware|2006-09-20 00:00:00|VMWARE-50 29 96 75 A5 CB 06 BC-A9 67 9C 6D 11 02 12 43|VIRTUAL SERVER|Refer to DOMS||
appl097a.via.novonet|SV002097|Customer|Dell|2010-07-23 00:00:00|29J2B3J|POWEREDGE R900|R_R22_01||
appl104a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 BD 60 C1 AE 74 06-9B C8 FA C9 42 69 B8 BE|VIRTUAL SERVER|Refer to DOMS||
appl113a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 C8 E5 65 F4 E6 6D-73 B4 02 75 AF A4 CD 25|VIRTUAL SERVER|Refer to DOMS||
appl116a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 C6 DA D2 78 EF 27-55 79 0C D4 0B 4F F8 5A|VIRTUAL SERVER|Refer to DOMS||
appl117a.via.novonet||Customer|VMware|2006-11-01 00:00:00|VMWARE-50 29 B3 07 94 C2 BD 93-88 55 16 A7 3D 5B 04 F4|VIRTUAL SERVER|Refer to DOMS||
appl122a.via.novonet||Customer|VMware|2010-03-08 00:00:00|VMWARE-50 24 59 DE B7 8A 84 5B-EB EF 81 6E 55 2B 0D AF|VIRTUAL SERVER|Refer to DOMS||
appl128a.via.novonet|SV003540|Customer|Dell|2007-03-05 00:00:00|JW5HF2J|POWEREDGE 2850|U12-U13||
appl130a.via.novonet||Customer|VMware|2007-01-18 00:00:00|VMWARE-50 29 B4 A4 08 27 DC 8D-1F 70 FE 32 8D AB 6B 2B|VIRTUAL SERVER|Refer to DOMS||
appl135a.via.novonet||Customer|VMware|2007-01-18 00:00:00|VMWARE-50 24 91 83 BF 7B 66 A4-D0 EC F2 C1 42 EA 05 F0|VIRTUAL SERVER|Refer to DOMS||
appl137a.via.novonet||Customer|VMware|2007-05-24 00:00:00|VMWARE-50 24 1E C8 AB 76 DC 67-40 8F 01 4F AD F6 41 25|VIRTUAL SERVER|Refer to DOMS||
appl138a.via.novonet||Customer|VMware|2007-05-24 00:00:00|VMWARE-50 24 80 EA DB 91 5F CF-47 1F B3 F9 B7 65 BD 7D|VIRTUAL SERVER|Refer to DOMS||
appl141a.via.novonet||Customer|VMware|2007-01-29 00:00:00|VMWARE-50 29 5E 9A 9F 17 13 E8-21 3A 22 B9 94 65 E8 AB|VIRTUAL SERVER|Refer to DOMS||
appl142a.via.novonet||Customer|VMware|2007-01-29 00:00:00|VMWARE-50 24 4B 85 3C 2D 86 56-B4 CF 71 8B 02 50 D5 E8|VIRTUAL SERVER|Refer to DOMS||
appl143a.via.novonet||Customer|VMware|2007-01-23 00:00:00|VMWARE-50 29 1E 07 AB 1B BC DF-BC AF E9 6E 78 FE 99 5A|VIRTUAL SERVER|Refer to DOMS||
appl145a.via.novonet||Customer|VMware|2007-09-19 00:00:00|VMWARE-50 24 DE D8 B4 2B 54 41-49 D6 C0 CB D6 7D FC B7|VIRTUAL SERVER|Refer to DOMS||
appl146a.via.novonet|SV003909|Customer|Dell|2007-01-29 00:00:00|CC5LT2J|POWEREDGE 1950|R_R26_19|02F120C7|
appl147a.via.novonet|SV003905|Customer|Dell|2007-02-14 00:00:00|HC5LT2J|POWEREDGE 1950|R_R26_20|02F11FCE|
appl148a.via.novonet|SV003699|Customer|Dell|2007-02-14 00:00:00|GC5LT2J|POWEREDGE 1950|R_R26_20|02F11FCC|
appl149a.via.novonet|SV003702|Customer|Dell|2007-02-14 00:00:00|FC5LT2J|POWEREDGE 1950|R_R12_10|02F0F47B|
appl150a.via.novonet|SV003906|Customer|Dell|2007-02-14 00:00:00|DC5LT2J|POWEREDGE 1950|R_R12_10|02F0F475|
appl152a.via.novonet||Customer|VMware|2007-02-05 00:00:00|VMWARE-50 24 38 32 35 DA C3 57-86 2C C4 86 79 B1 6D 15|VIRTUAL SERVER|Refer to DOMS||
appl153a.via.novonet|SV003893|Customer|Dell|2007-02-05 00:00:00|4VPKV2J|POWEREDGE 1950|R_R26_20|02F11FCD|
appl154a.via.novonet|SV003518|Customer|Dell|2007-04-24 00:00:00|3VPKV2J|POWEREDGE 1950|R_R12_10|02F0F476|
appl155a.via.novonet|SV003772|Customer|Dell|2007-04-24 00:00:00|6VPKV2J|POWEREDGE 1950|R_R26_19|02F120C5|
appl158a.via.novonet||Customer|VMware|2008-07-04 00:00:00|VMWARE-50 29 54 AC FD FE F0 A8-70 54 15 2F EA 86 2C 62|VIRTUAL SERVER|Refer to DOMS||
appl159a.via.novonet|SV003898|Customer|Dell|2007-05-02 00:00:00|FB7NY3J|POWEREDGE R900|||
appl161a.via.novonet||Customer|VMware|2007-07-31 00:00:00|VMWARE-50 24 8B 90 B9 2B 4F 04-FC 00 4A 93 C5 99 16 76|VIRTUAL SERVER|Refer to DOMS||
appl162a.via.novonet||Customer|VMware|2007-07-31 00:00:00|VMWARE-50 24 43 BD 46 6D 6F BC-C5 97 5C 86 92 02 A4 18|VIRTUAL SERVER|Refer to DOMS||
appl165a.via.novonet||Customer|VMware|2007-08-03 00:00:00|VMWARE-50 29 B7 D5 32 A8 FD 3C-2E 4E FF B8 AB 64 E8 A9|VIRTUAL SERVER|Refer to DOMS||
appl167a.via.novonet||Customer|VMware|2007-05-02 00:00:00|VMWARE-50 24 2E 83 0E 49 94 C7-61 CF 5A A1 6A CB 2D 1C|VIRTUAL SERVER|Refer to DOMS||
appl168a.via.novonet||Customer|VMware|2007-05-17 00:00:00|VMWARE-50 24 76 A8 BB 84 FE 31-6B C6 DD 52 C4 4F B0 78|VIRTUAL SERVER|Refer to DOMS||
appl169a.via.novonet||Customer|VMware|2007-09-20 00:00:00|VMWARE-50 24 BF A6 D3 E0 C9 B2-96 A2 50 A1 95 87 1C 4F|VIRTUAL SERVER|Refer to DOMS||
appl171a.via.novonet||Customer|VMware|2007-07-31 00:00:00|VMWARE-50 24 B0 B4 FE 13 38 46-B1 08 81 9F 4C FF 35 7A|VIRTUAL SERVER|Refer to DOMS||
appl172a.via.novonet||Customer|VMware|2007-09-12 00:00:00|VMWARE-50 24 64 C1 D5 2C 55 FB-62 AB EE 21 85 05 24 37|VIRTUAL SERVER|Refer to DOMS||
appl174a.via.novonet||Customer|VMware|2007-07-13 00:00:00|VMWARE-50 24 1B B3 60 A4 25 45-DA C0 64 FE 07 15 46 C6|VIRTUAL SERVER|Refer to DOMS||
appl188a.via.novonet||Customer|VMware|2007-08-01 00:00:00|VMWARE-50 29 C1 C5 C7 84 CE 02-6D 6D 7F DA 19 A3 54 23|VIRTUAL SERVER|Refer to DOMS||
appl193a.via.novonet|SV000340|Customer|IBM|2007-08-13 00:00:00|KDTBL7P|XSERIES 345 8670|u3-u4||
appl194a.via.novonet|SV000241|Customer|IBM|2007-08-13 00:00:00|KDPBZ3K|XSERIES 345 8670|u5-u6||
appl195a.via.novonet||Customer|VMware|2007-09-10 00:00:00|VMWARE-50 29 2C 38 F1 58 7B 41-50 DD 0E 6E 70 00 7A 6F|VIRTUAL SERVER|Refer to DOMS||
